TOTALDEMAND,RRP
4605.01,55.39
4789.82,58.42
4866.9,37.98
4852.15,38.16
4779.48,47.25
4768.16,26.39
4736.39,45.98
4648.55,107.39
4486.26,99.6
4347.64,47.11
4266.86,52.81
4177.91,47.2
4088.29,58.92
4030.35,45.22
4234.36,54.49
4266.99,49.33
4135.15,42.32
3997.46,20.37
3891.84,8.93
3690.62,10.52
3584.94,3.72
3480.02,5.17
3437.23,8.91
3399.02,6.41
3379.39,-5.67
3458.57,-0.79
3540.07,8.89
3607.11,10.45
3748.77,10.28
3965.73,40.16
4051.89,34.5
4194.91,44.64
4291.51,27.04
4402.82,49.8
4378.4,43.08
4365.93,37.49
4382.19,44.26
4366.36,37.32
4349.37,35.33
4196.94,26.45
4027.16,-1.85
3886.47,1.87
3810.74,-1.09
3632.37,-24.63
3591.25,-16.36
3696.52,21.42
3895.69,31.99
4027.29,34.23
4170.41,28.07
4323.32,29.14
4586.51,41.31
4679.28,53.2
4828.78,81.05
4785.54,47.44
4940.99,99.53
4723.59,55.67
4759.03,55.11
4639.26,44.72
4577.74,45.05
4467.58,41.68
4393.88,48.55
4273.94,44.55
4402.34,41.02
4324.16,40.34
4173.16,39.92
4036.9,38.29
3931.01,42.15
3727.09,38.67
3639.54,37.43
3581.88,36.41
3513.43,34.52
3511.9,35.84
3537.5,34.05
3583.06,34.37
3634.38,36.47
3713.04,35.47
3759.25,28.13
3854.71,32.44
3747.41,18.68
3677.14,-1.68
3580.36,-27.9
3455.78,-16.87
3386.55,-8.6
3288.23,-12.93
3163.37,-23.7
3256.57,-0.22
3344.82,-8.96
3446.94,6.21
3461.57,-2.13
3472.62,-4.82
3536.11,24.35
3599.03,-14.95
3724.78,24.53
3846.15,15.47
3996.76,14.27
4176.13,26.24
4417.69,31.84
4713.17,36.83
4920.24,49.24
4990.06,34.2
5016.26,28.97
5087.01,56.41
5115.52,51.76
5055.33,67.27
4883.05,48.16
4708.94,44.23
4530.33,35.0
4327.86,35.31
4164.42,37.78
4091.25,35.99
4283.32,41.63
4254.96,43.49
4128.23,39.97
4036.71,38.21
3969.91,37.69
3835.1,26.78
3758.42,13.64
3696.23,27.65
3643.67,19.32
3666.79,24.01
3763.49,12.62
3966.09,35.52
4374.5,43.49
4710.11,98.42
5120.53,58.32
5297.99,218.15
5072.46,103.7
4842.89,58.08
4683.47,52.35
4343.81,30.24
3980.9,21.39
4003.83,26.87
3961.66,20.34
3855.3,12.88
3776.47,10.51
3714.0,11.41
3680.73,18.47
3674.18,33.32
3657.35,20.44
3680.92,23.43
3674.1,29.53
3755.39,34.7
3940.76,40.47
4106.78,45.91
4339.65,37.93
4642.0,32.59
4811.11,21.09
4972.44,53.4
5059.52,44.93
5122.65,53.99
5177.51,56.49
5159.41,66.34
4956.34,58.56
4751.88,44.69
4595.21,47.0
4423.19,40.92
4283.08,49.91
4160.65,40.92
4351.09,43.2
4351.37,44.47
4225.88,39.45
4146.01,39.79
4008.35,39.42
3928.01,33.2
3825.65,32.3
3802.21,40.61
3759.72,35.11
3807.07,40.08
3919.06,45.78
4128.53,48.23
4512.68,66.34
4793.11,55.37
5140.6,82.63
5325.84,134.0
5134.09,71.99
5012.92,58.96
4881.51,55.34
4627.8,58.92
4393.44,54.82
4242.23,47.34
4114.03,45.27
4096.64,38.6
4129.24,46.03
4140.53,39.42
4172.26,48.36
4137.96,51.36
4148.63,58.54
4137.55,61.86
4096.77,55.32
4213.87,55.58
4403.87,59.17
4533.98,53.94
4705.13,46.62
4922.25,54.3
5054.34,52.4
5087.38,53.41
5106.54,55.88
5101.28,62.1
5146.05,60.96
5111.84,49.5
4949.27,45.78
4775.25,43.06
4589.57,39.92
4396.91,36.9
4283.4,45.87
4247.71,47.46
4436.29,48.92
4432.41,49.61
4347.24,60.0
4219.62,55.72
4146.34,51.16
4034.72,47.16
3909.44,46.03
3878.54,45.2
3870.14,44.33
3894.51,46.98
4035.74,59.9
4196.03,67.38
4536.91,68.94
4840.34,216.51
5230.8,74.55
5407.99,74.75
5289.4,57.42
5128.52,54.14
4932.32,51.13
4605.1,50.88
4327.26,43.52
4093.58,41.11
3976.45,44.47
3895.7,43.76
3847.86,39.88
3840.23,46.36
3812.54,45.71
3816.75,45.9
3869.72,47.21
3935.85,59.8
3956.62,57.83
4034.83,59.96
4101.6,63.6
4334.18,40.67
4559.54,50.12
4765.44,136.51
4920.0,97.7
5063.88,60.33
5095.56,74.74
5102.87,79.37
5132.74,69.59
5084.62,62.51
4931.51,62.5
4805.6,54.72
4660.16,50.11
4486.01,43.34
4367.94,59.61
4326.06,55.35
4532.13,60.36
4603.05,82.75
4409.59,59.46
4305.75,55.97
4144.13,48.09
4007.29,43.45
3878.61,39.63
3840.56,39.27
3814.0,38.97
3868.02,43.59
3997.63,48.37
4113.89,51.07
4420.69,55.84
4697.53,56.39
5007.89,53.29
5076.57,51.79
4891.71,47.97
4697.58,49.78
4538.0,42.8
4303.55,44.13
4089.71,33.65
3989.13,34.6
3928.48,37.49
4045.6,38.25
4175.29,33.8
4296.82,34.35
4403.93,47.48
4554.5,84.32
4697.27,69.0
4714.6,58.84
4599.52,49.78
4648.97,63.02
4773.12,49.49
4841.53,37.92
4968.07,35.7
5166.13,46.55
5207.13,48.33
5241.38,53.55
5218.53,57.7
5179.87,78.82
5151.15,93.71
5075.1,69.91
4954.07,55.96
4775.45,51.49
4621.36,55.22
4446.18,47.98
4353.45,54.33
4293.65,51.07
4479.59,56.93
4454.78,54.41
4324.78,47.32
4222.34,43.99
4120.86,42.96
3964.18,45.49
3842.67,41.42
3747.53,41.13
3786.63,41.19
3800.97,41.18
3903.64,47.44
4068.16,57.15
4392.39,71.89
4640.37,44.03
4920.12,49.26
5119.42,54.67
5017.62,93.04
4926.32,47.01
4811.15,45.44
4643.68,65.51
4476.51,60.16
4047.76,34.74
4016.08,40.67
4224.54,38.5
4122.97,33.96
3923.36,28.99
3810.98,29.11
3755.36,27.55
3756.66,34.56
3738.59,33.61
3763.61,33.48
3918.28,34.73
4053.27,32.39
4179.62,38.54
4281.28,31.79
4505.22,48.63
4649.94,38.07
4618.16,35.86
4656.9,39.0
4679.84,40.7
4707.76,39.91
4681.9,51.99
4554.63,46.43
4410.95,39.76
4280.41,36.41
4142.52,36.23
3999.71,44.66
3998.97,42.25
4213.04,59.08
4144.32,56.01
4019.89,47.63
